"","rho","p.value","BH"
"Otu00001",-0.731372549019608,6.01808305387485e-07,8.20566589902517e-05
"Otu00002",0.745990617418723,2.69751572786648e-07,4.72893923575086e-05
"Otu00003",0.723630767709976,9.01813107506412e-07,0.000104690513991517
"Otu00004",-0.769467787114846,6.59922336232732e-08,1.85756211342233e-05
"Otu00005",-0.808039780677547,4.39037821210887e-09,3.78151730093975e-06
"Otu00006",0.62095532196251,6.8856836175868e-05,0.00249401874088232
"Otu00009",-0.690012613577109,4.5199174505157e-06,0.000320969092390268
"Otu00010",0.704761904761905,2.28998264012323e-06,0.000204201772599996
"Otu00011",0.670776154097104,1.03629966229535e-05,0.000597804173091515
"Otu00014",0.75038521537405,2.09701781963918e-07,4.0192756167651e-05
"Otu00016",0.763919043823079,9.33863954000307e-08,2.34600683411927e-05
"Otu00017",-0.745473158017279,2.77777071679127e-07,4.77184244532312e-05
"Otu00018",-0.504272311993015,0.00200950306639035,0.0317002161648061
"Otu00019",0.677733432346875,7.73064970211212e-06,0.000477807325371549
"Otu00020",-0.662369588522092,1.46179846242112e-05,0.000780961528617441
"Otu00021",-0.662975224610687,1.42652608178669e-05,0.000771742131902971
"Otu00022",0.706549955775499,2.1029313775579e-06,0.000194192829145792
"Otu00023",0.806331880237415,5.01241652919022e-09,3.78151730093975e-06
"Otu00024",0.77013588092711,6.3249517027475e-08,1.82431909421345e-05
"Otu00026",0.705239590585803,2.23857686686265e-06,0.000202712679614388
"Otu00028",0.667507194115928,1.18615009839431e-05,0.000661384838873178
"Otu00029",0.776104771144789,4.30117391296094e-08,1.38960335707656e-05
"Otu00030",-0.620911830082088,6.89610112832248e-05,0.00249401874088232
"Otu00031",0.609134235174229,0.000103005923686705,0.00326664109808235
"Otu00033",0.691467064029953,4.23423998683017e-06,0.000307219095690414
"Otu00034",0.688660097853915,4.80123759164676e-06,0.00033369719324631
"Otu00035",-0.726482895735374,7.78191527757524e-07,9.72812449356448e-05
"Otu00036",0.600644353840569,0.000136222247076576,0.00402530265619745
"Otu00039",0.556030720971952,0.000524180861088587,0.0114951780765155
"Otu00040",0.674185680585307,8.98534264019024e-06,0.000531454582538645
"Otu00042",-0.630369405713689,4.93727183740609e-05,0.00193321192514678
"Otu00043",0.756707577065927,1.446405912e-07,3.21832203067199e-05
"Otu00046",-0.629684121206946,5.06014143065256e-05,0.0019736241109238
"Otu00049",0.768508807328433,7.01211128188877e-08,1.91309377692721e-05
"Otu00050",0.81319606754312,2.91914162451579e-09,2.96521329450272e-06
"Otu00052",0.658820290794091,1.68491931118924e-05,0.000855735216456844
"Otu00053",-0.773669467787115,5.04106322283137e-08,1.57032480100012e-05
"Otu00054",-0.701813893359374,2.63185353395531e-06,0.000225230747669589
"Otu00055",-0.724280413569699,8.72169745523119e-07,0.000104494880844393
"Otu00056",0.568786797333802,0.000363612184565248,0.00868616714519211
"Otu00058",0.627942923762884,5.38484751449944e-05,0.00206239659805329
"Otu00059",0.662324032272846,1.46448342997005e-05,0.000780961528617441
"Otu00062",0.556156590119108,0.000522329902624732,0.011490260437834
"Otu00065",0.519899184815957,0.00136937950911172,0.0238930645790718
"Otu00067",0.723872261532944,8.90687561027431e-07,0.000104690513991517
"Otu00069",0.818213710436033,1.93861233588368e-09,2.51621111129169e-06
"Otu00070",0.558217787861263,0.000492833826928591,0.0110077215091134
"Otu00071",0.515518873740803,0.00152760168752088,0.0258631198588739
"Otu00073",0.586496713976321,0.000213343307974747,0.00574232684817284
"Otu00074",0.510471398816043,0.00172962939432791,0.0283176815274582
"Otu00079",0.477965446678413,0.00368505368104083,0.0498805962631268
"Otu00080",0.786664806709103,2.11103701453981e-08,9.31582689085622e-06
"Otu00082",0.50070075130658,0.0021881060921642,0.0337409887887883
"Otu00083",0.679834714175152,7.06495429905097e-06,0.000447313082083274
"Otu00084",0.502977263778315,0.00207273300203428,0.0324441107401988
"Otu00085",0.602732086009557,0.000127267383100571,0.0038564823234483
"Otu00089",-0.628583705260423,5.26322747480266e-05,0.00203247576022834
"Otu00091",0.482086859992709,0.00336150658082038,0.0465726162328055
"Otu00092",0.585530373972266,0.000219816083845235,0.0058871558389777
"Otu00095",0.594871169688338,0.00016400281170008,0.00469603990505563
"Otu00096",0.749264610236288,2.23717569768669e-07,4.18137086600433e-05
"Otu00097",-0.751297151340383,1.98896963351581e-07,3.87235812898581e-05
"Otu00100",0.591819588380691,0.000180650491139561,0.00505453583771684
"Otu00101",0.77024379599538,6.28164842359458e-08,1.82431909421345e-05
"Otu00102",0.647845924153462,2.58428768184177e-05,0.00117770057367241
"Otu00103",0.599635744427892,0.000140747737097775,0.00410523018953222
"Otu00104",0.678246259630605,7.56311765940306e-06,0.000469443765206837
"Otu00107",0.614543980311119,8.58394193584585e-05,0.00289807276657755
"Otu00108",0.59237475394421,0.000177513658791452,0.00498467741627968
"Otu00109",0.54220449141541,0.000766655262938915,0.0153219562943044
"Otu00110",-0.479621502292402,0.00355194180751616,0.0485791383523642
"Otu00111",0.780750941266324,3.15990529281906e-08,1.17404440617888e-05
"Otu00113",0.670314213176894,1.05637381171743e-05,0.000606389714082415
"Otu00114",0.529473830233858,0.00107273843654825,0.0197808903654907
"Otu00117",0.690814908274575,4.36023167496579e-06,0.000313440284991464
"Otu00118",0.557517213328305,0.000502688731833296,0.0111637992792978
"Otu00119",0.567164291890462,0.000381242478975418,0.00896073243088802
"Otu00120",0.780488080918448,3.21614698435338e-08,1.17404440617888e-05
"Otu00121",0.846472034350974,1.4919149608154e-10,7.16071448120914e-07
"Otu00122",-0.508553320497463,0.00181232888010977,0.0292598306770007
"Otu00123",-0.688938519089086,4.7420541659808e-06,0.000330712273074058
"Otu00125",0.730241146112116,6.38997768445606e-07,8.53080277953982e-05
"Otu00126",0.566402859452397,0.000389775655193902,0.00911544407637151
"Otu00128",-0.826644271244091,9.46812814658859e-10,1.96620081144357e-06
"Otu00129",0.624211908865945,6.1447656257868e-05,0.00229329327979644
"Otu00131",0.670778998588565,1.03617713389397e-05,0.000597804173091515
"Otu00132",0.734422397827689,5.11226254985143e-07,7.1527531146948e-05
"Otu00134",-0.82590326238027,1.0099049667133e-09,1.96620081144357e-06
"Otu00135",-0.497477656629824,0.00236103171179013,0.0357258962969902
"Otu00138",0.78074432174988,3.16131039226189e-08,1.17404440617888e-05
"Otu00139",0.720509975046242,1.05751735365873e-06,0.000117651323492995
"Otu00140",0.768648892783651,6.95034841847119e-08,1.91309377692721e-05
"Otu00141",0.610675283147301,9.78262087479172e-05,0.00315641000093691
"Otu00144",0.754851908899621,1.61485896091436e-07,3.47042813296203e-05
"Otu00145",0.699411544856183,2.94425693349024e-06,0.000242206601187086
"Otu00146",-0.545072462103268,0.000709467669706591,0.0144509966585485
"Otu00148",0.751683030379626,1.94481134146749e-07,3.85056164158516e-05
"Otu00149",0.755238045218112,1.57838678576858e-07,3.47042813296203e-05
"Otu00150",0.579899279949644,0.000261151936763865,0.00674921758696259
"Otu00151",-0.671220748786024,1.01730755647947e-05,0.000591227772189799
"Otu00152",0.675823571687987,8.38472065425723e-06,0.00050724149363052
"Otu00153",0.73681265465464,4.49178294455642e-07,6.64186866668808e-05
"Otu00155",0.754064019809882,1.69169577954677e-07,3.52884718728135e-05
"Otu00157",-0.807342091781274,4.63530268005254e-09,3.78151730093975e-06
"Otu00159",0.632265750932846,4.61117573139711e-05,0.00183841123912339
"Otu00160",-0.654248510067468,2.01774913853233e-05,0.000971972641722285
"Otu00161",0.532324729830121,0.000996134270697851,0.0187531708028315
"Otu00163",0.596803876330661,0.00015418387976769,0.00445265510879176
"Otu00165",0.734622455260191,5.05746211742216e-07,7.1527531146948e-05
"Otu00168",-0.478125445807828,0.00367200722351404,0.0497905425205795
"Otu00169",-0.685787019138849,5.45253173576263e-06,0.000365691138014306
"Otu00170",0.759602175017434,1.21566104284348e-07,2.8787548168314e-05
"Otu00172",0.727158185986523,7.5129530459185e-07,9.5394088049888e-05
"Otu00173",0.65919443623314,1.66002230052261e-05,0.000848645536260605
"Otu00174",-0.654574603479167,1.99216949520194e-05,0.000965623566730351
"Otu00176",0.587147136413287,0.000209083179231541,0.00566683331367343
"Otu00179",-0.715513942581417,1.35873243271404e-06,0.000141084737002214
"Otu00181",0.598149563066496,0.000147662024802097,0.00428018348070892
"Otu00182",-0.801065856084895,7.48137146403018e-09,4.75662783202883e-06
"Otu00183",-0.535901959318121,0.00090686642196791,0.0174379590258735
"Otu00185",0.571588702739387,0.000334870228591122,0.00812416734223715
"Otu00187",-0.736250738008073,4.63108712274352e-07,6.744810407772e-05
"Otu00188",0.741451910205182,3.48036964387461e-07,5.45717288522432e-05
"Otu00189",0.615607085236354,8.27858341809016e-05,0.00284849108095494
"Otu00192",-0.731481360680668,5.98338416318295e-07,8.20566589902517e-05
"Otu00195",0.562614387228873,0.000434811836163728,0.00996909610234857
"Otu00196",0.687290536242083,5.10229007811848e-06,0.000349574202624874
"Otu00198",0.78074432174988,3.16131039226189e-08,1.17404440617888e-05
"Otu00199",0.584350486436369,0.000227957071148398,0.00605200119686367
"Otu00200",-0.780694670656149,3.17186804023276e-08,1.17404440617888e-05
"Otu00201",0.529759898713929,0.00106482415706818,0.0197007871626724
"Otu00202",-0.69822643925394,3.11052668601453e-06,0.000250590465397785
"Otu00203",-0.677267258223954,7.88586514404188e-06,0.000484835440421712
"Otu00206",0.813750812989613,2.79166406289399e-09,2.96462034097238e-06
"Otu00209",0.577460476176872,0.000281113739543482,0.00714275248024844
"Otu00213",0.800617441422806,7.73667155832279e-09,4.75662783202883e-06
"Otu00214",0.556940753467841,0.000510928605101328,0.0113038115539605
"Otu00215",0.654892297782146,1.9675318926458e-05,0.000958562846851428
"Otu00216",0.696152248064955,3.42230994592116e-06,0.000269210192816687
"Otu00219",0.607574591122909,0.000108497917514783,0.00340246556630587
"Otu00220",0.819812318467934,1.69712676625606e-09,2.47812329000252e-06
"Otu00222",0.55988834870795,0.000470023609248593,0.0105995768174468
"Otu00223",0.670125094869758,1.06469367880572e-05,0.000609667608282795
"Otu00224",0.675132793308818,8.63342829945275e-06,0.000518139878717136
"Otu00225",0.814742280463604,2.57658792434693e-09,2.95707266038729e-06
"Otu00226",0.676530998021638,8.13679395052205e-06,0.000495051867359496
"Otu00227",0.661290972985467,1.52658438570396e-05,0.000803443197206299
"Otu00228",-0.633939058605088,4.33972885276454e-05,0.00173957711814417
"Otu00229",0.519837625894783,0.00137149921533558,0.0239121911700636
"Otu00231",0.532732340740474,0.000985585749975645,0.0186296439131723
"Otu00232",0.638788771389674,3.63257292620273e-05,0.00151010322553157
"Otu00233",0.707959752477146,1.96541914290867e-06,0.000187420765043981
"Otu00234",0.643348129781866,3.06458915552557e-05,0.00134836151488783
"Otu00235",0.523749520839709,0.00124238808805802,0.0222933278811825
"Otu00236",0.736370187815986,4.6011467085047e-07,6.744810407772e-05
"Otu00239",-0.710875081075094,1.70678150377302e-06,0.000168964136748513
"Otu00240",0.63440702787175,4.26644274931381e-05,0.00171856727503825
"Otu00241",0.726471578936209,7.7864969408747e-07,9.72812449356448e-05
"Otu00242",0.544460548820113,0.000721341886654237,0.0146545308677417
"Otu00243",0.752400531932805,1.86509255390602e-07,3.75251504092933e-05
"Otu00245",-0.853596542453242,7.20240119609349e-11,7.0443956378277e-07
"Otu00248",0.54449908253999,0.000720588979812821,0.0146519759228607
"Otu00249",0.510839087947445,0.00171415962495841,0.0282027544492277
"Otu00250",0.577955408884672,0.000276955887711203,0.00706388690458171
"Otu00251",0.660308076750717,1.58787973828413e-05,0.000823253947372969
"Otu00252",-0.491479598864163,0.00271478060703271,0.0396408870763158
"Otu00253",0.675774194491685,8.40227958888034e-06,0.00050724149363052
"Otu00254",0.749754865172093,2.17483060014471e-07,4.13094043180332e-05
"Otu00257",-0.613600032622564,8.86353154962028e-05,0.00295151896511827
"Otu00259",-0.556630418341803,0.000515414001270228,0.0113674835027403
"Otu00262",-0.486256520050477,0.00305955113809982,0.0434266666096149
"Otu00263",0.603072959836697,0.00012585657352271,0.00383208214706122
"Otu00264",0.603533165986257,0.000123974151335108,0.00378121161572079
"Otu00265",-0.82040430737644,1.6150093561068e-09,2.47812329000252e-06
"Otu00266",0.528731742199319,0.00109351102749094,0.0200531382537447
"Otu00267",0.5461951577532,0.000688131011823545,0.0141024603765206
"Otu00269",0.575316133867738,0.000299779090639024,0.00747464129626417
"Otu00270",0.741628200589776,3.44643045495318e-07,5.45717288522432e-05
"Otu00273",0.630597888676463,4.89690833581313e-05,0.00192928279004388
"Otu00274",0.692799156348858,3.98715169827739e-06,0.000295879094309242
"Otu00275",-0.480196550090437,0.00350670567968158,0.0482071442847568
"Otu00276",0.745199902667986,2.82103104314093e-07,4.81078454459135e-05
"Otu00277",0.49355388919725,0.00258755111713848,0.0381888545481405
"Otu00278",0.636300086159988,3.98125513617864e-05,0.00162611999556891
"Otu00279",0.666854248671826,1.21834275467945e-05,0.000677717661370859
"Otu00280",0.612030671070148,9.34654571089003e-05,0.00305798024623959
"Otu00282",0.738804620681412,4.02836927098455e-07,6.15129354758248e-05
"Otu00283",0.628588769040786,5.26227632711555e-05,0.00203247576022834
"Otu00284",0.725107004260255,8.35743970623094e-07,0.0001011683232418
"Otu00285",0.800729848224542,7.67192795150904e-09,4.75662783202883e-06
"Otu00286",0.510310608884143,0.0017364326616294,0.0284028144057749
"Otu00287",0.545812609981045,0.000695336552216935,0.0142127277947894
"Otu00289",0.687794080356089,4.98965776971859e-06,0.000343874260985061
"Otu00290",0.645880146311791,2.7851165567918e-05,0.00126102089372727
"Otu00293",0.55205816398816,0.000585674696211665,0.0125303277725212
"Otu00294",-0.742216718778175,3.33531942100461e-07,5.37400466434005e-05
"Otu00296",0.622197407165188,6.59409143914729e-05,0.00242610642980785
"Otu00298",0.786540918542293,2.12922546998977e-08,9.31582689085622e-06
"Otu00304",0.493166252253829,0.00261092466986988,0.0384851943609906
"Otu00306",0.654000324318206,2.03741670831341e-05,0.000977416151053926
"Otu00307",0.503398600561043,0.00205197326052104,0.0321962735295856
"Otu00308",0.784528219916681,2.44574733326418e-08,1.02035705262591e-05
"Otu00309",-0.703805059024932,2.39621269549373e-06,0.000211255536621962
"Otu00310",0.66764882791542,1.17926989483429e-05,0.000660702219496727
"Otu00311",-0.803015222279676,6.45951476584476e-09,4.43863657277739e-06
"Otu00314",-0.497629104385991,0.00235264696135787,0.0356551973259025
"Otu00315",0.605538364916963,0.000116063755295041,0.00360584775925273
"Otu00316",0.75497970468309,1.60270313814274e-07,3.47042813296203e-05
"Otu00317",-0.578416399907989,0.000273132655529035,0.00698831220276405
"Otu00318",0.70979066574287,1.79910852244598e-06,0.000175868503807136
"Otu00319",0.52711227859791,0.00114007832021666,0.0207766379057892
"Otu00321",0.599553503187537,0.000141122623443777,0.00411103223381167
"Otu00322",0.70263463953294,2.53227153791916e-06,0.000220751716195543
"Otu00324",0.647690286883747,2.59969600738428e-05,0.00118164781751982
"Otu00329",0.567077878763936,0.000382202446421984,0.00896525678288836
"Otu00330",-0.700071726845805,2.85519474481384e-06,0.00023738759723518
"Otu00332",0.707366943966123,2.02220740749609e-06,0.000189738279764382
"Otu00334",-0.7717431685585,5.70759736787336e-08,1.70957176032853e-05
"Otu00337",0.694128165143051,3.7538159416841e-06,0.000283820070697623
"Otu00339",0.505489731809198,0.00195160824812962,0.030975151834954
"Otu00340",-0.553639481749649,0.000560469188370188,0.0121130820054512
"Otu00341",-0.795375596403928,1.13824749271342e-08,6.43225171213139e-06
"Otu00343",0.679234906435614,7.24943946227099e-06,0.000456364882222173
"Otu00345",-0.735159523901027,4.91300219131358e-07,6.99893110949141e-05
"Otu00346",-0.695806383930621,3.47699056929139e-06,0.000270776435567849
"Otu00348",0.61369086607506,8.83627551414427e-05,0.00294917006909932
"Otu00349",0.504522548648565,0.00199748183868598,0.031553190126586
"Otu00352",0.662830613842298,1.43487726028779e-05,0.000772420217329578
"Otu00353",0.628487615125758,5.28130585838247e-05,0.00203609156385131
"Otu00355",0.700490711591987,2.79995534906984e-06,0.000234463644517271
"Otu00358",0.655869264473938,1.89348847193055e-05,0.000931317287783439
"Otu00359",0.627366066849826,5.49649790535123e-05,0.00209342061290452
"Otu00361",0.612062313066507,9.33657769711618e-05,0.00305798024623959
"Otu00366",-0.727947961153431,7.20922092148802e-07,9.35051947956867e-05
"Otu00368",0.700834824387306,2.7553193385409e-06,0.0002315558478645
"Otu00370",0.538008944299524,0.000857661411454228,0.0167118795294455
"Otu00371",0.592416310979159,0.00017728082541733,0.00498412987271368
"Otu00372",0.786065147894295,2.20042866979216e-08,9.34702091133713e-06
"Otu00373",0.543183239227796,0.000746696584663031,0.0150388554374848
"Otu00377",0.82922093670306,7.54763616170547e-10,1.76335423645925e-06
"Otu00379",-0.601458900006141,0.000132663282714362,0.00396344280569776
"Otu00381",0.635038698323988,4.16929389995857e-05,0.00168816660978738
"Otu00385",0.786583376021632,2.12297590041187e-08,9.31582689085622e-06
"Otu00386",-0.607018889055354,0.000110517411915683,0.00345651712795999
"Otu00388",0.721241201637181,1.01897294091823e-06,0.000115006110235134
"Otu00389",0.713165063805513,1.52589208624033e-06,0.000153661279357038
"Otu00391",0.511318394279224,0.00169417594488481,0.0279329799578996
"Otu00394",0.538298785751071,0.000851080688534685,0.016625249269428
"Otu00399",0.838764093640824,3.15110498529696e-10,1.22698776285821e-06
"Otu00401",0.675089215342486,8.64934095363109e-06,0.000518139878717136
"Otu00402",0.530520866871399,0.00104402147934037,0.0193736885002613
"Otu00403",0.707588957191733,2.00076614495838e-06,0.000189310225898141
"Otu00406",0.578885251291442,0.000269292642596721,0.00691371869119471
"Otu00412",0.516998506827375,0.00147244885081623,0.0252205443560261
"Otu00414",-0.545385752000594,0.000703455509038482,0.0143535642425031
