Tau	Set	Hours	2-Hydroxy.Benzoic.Acid	4-Hydroxy.Benzoic.Acid	alpha-Cyclodextrin	alpha-D-Lactose	alpha-Ketobutyric.Acid	beta-Methyl-D-Glucoside	D-Cellulobiose	D-Galactonic.Acid.gamma-Lactone	D-Galacturonic.Acid	D-Glucosaminic.Acid	D-Malic.Acid	D-Mannitol	D-Xylose	D,L-alpha-Glycerol.Phosphate	gamma-Hydroxybutyric.Acid	Glucose-1-Phosphate	Glycogen	Glycyl-L-Glutamic.Acid	i-Erythritol	Itaconic.Acid	L-Arginine	L-Asparagine	L-Phenylalanine	L-Serine	L-Threonine	N-Acetyl-D-Glucosamine	Phenylethylamine	Putrescine	Pyruvic.Acid.Methyl.Ester	Tween.40	Tween.80	NumRes	Avg
2.25	S2	48	0.033	1.25	0.053	0.133	0	1.213	0.983	0.97	1.367	0.157	1.1	1.203	0.373	0.2	1.653	0.553	1.11	0.053	0	0.697	1.1	2.2	0.07	1.54	0.237	1.593	1.243	1.167	1.047	0.723	0.763	29	0.799483870967742
2.75	S2	48	0.18	1.493	0.113	0.163	0.017	1.363	0.723	1.263	1.543	0.193	1.483	1.477	0.263	0.403	2.22	0.54	1.627	0.15	0.017	0.86	1.337	2.467	0.153	1.87	0.357	1.887	1.307	1.513	1.393	0.95	0.857	31	0.973612903225807
3.75	S2	48	0.07	1.207	0.01	0.04	0	1.253	0.503	1.29	1.347	0.1	1.21	1.287	0.21	0.263	1.86	0	1.563	0	0	0.547	1.37	2.33	0.033	1.77	0.25	1.513	0.88	1.33	1.227	0.793	0.923	27	0.812225806451613
4.25	S2	48	0.18	1.08	0.087	0.103	0	1.253	1.127	1.037	1.217	0.04	1.417	1.147	0.22	0.41	1.6	0	1.567	0	0	0.46	1.24	1.957	0.103	1.667	0.36	1.38	1.04	1.247	1.137	0.703	0.873	27	0.795225806451613
4.75	S2	48	0.007	0.96	0.013	0	0.01	1.03	1.06	0.753	0.83	0.103	1.333	1.067	0.267	0.203	1.397	0	1.393	0	0	0.403	1.133	2.067	0.047	1.437	0.237	1.2	0.863	0.997	0.85	0.573	0.7	27	0.675258064516129
5.25	S2	48	0.003	1.393	0	0	0.07	1.123	1.313	0.823	1.307	0.123	1.307	1.217	0.27	0.203	1.907	0	1.243	0	0	0.447	1.67	2.063	0.087	1.653	0.293	1.403	1.213	1.247	1.05	0.617	0.75	26	0.799838709677419
5.75	S2	48	0.38	0.893	0.113	0.05	0	1.183	1.287	0.897	1.027	0.017	0.92	1.193	0.32	0.18	1.12	0.04	1.42	0.013	0.007	0.6	1.217	1.603	0.057	1.34	0.393	1.117	1.03	0.98	0.683	0.6	0.76	30	0.691612903225806
6.25	S2	48	0.323	0.817	0	0.147	0.01	1.067	0.937	0.847	1.053	0.137	1.227	1.173	0.38	0.2	1.413	0	1.403	0.003	0	0.553	1.027	1.777	0.067	1.393	0.39	1.173	0.763	0.843	0.91	0.553	0.643	28	0.684806451612903
6.75	S2	48	0.01	0.91	0.357	0	0.007	0.887	0.887	0.733	0.803	0.01	0.747	0.873	0.093	0.057	0.917	0.023	1.147	0	0	0.44	0.8	1.37	0	0.993	0.167	1	0.753	0.67	0.617	0.333	0.45	27	0.517870967741936
7.25	S2	48	0.357	0.713	0	0	0	1.02	0.993	0.727	0.937	0	0.86	1.053	0.07	0.007	1.297	0	1.347	0	0	0.667	1.033	1.587	0	1.14	0.273	1.117	0.817	0.837	0.747	0.413	0.583	23	0.599838709677419
7.75	S2	48	0.083	1.193	0.097	0	0	1.173	1.207	0.977	0.973	0.01	1.17	1.023	0.21	0.237	1.387	0	1.447	0.01	0.04	0.59	1.057	1.827	0.423	1.443	0.48	1.383	0.803	1.043	0.95	0.607	0.747	28	0.728709677419355
8.25	S2	48	0.073	0.897	0.133	0.05	0.07	1.243	1.127	0.693	0.9	0.123	0.947	1.087	0.227	0.227	1.067	0.017	1.313	0	0.077	0.593	0.95	1.673	0.027	1.243	0.793	1.16	0.967	0.917	0.93	0.56	0.66	30	0.669161290322581
