Linux version

Using ReadLine,Boost,HDF5,GSL
mothur v.1.48.1
Last updated: 5/15/24
by
Patrick D. Schloss

Department of Microbiology & Immunology

University of Michigan
http://www.mothur.org

When using, please cite:
Schloss, P.D., et al., Introducing mothur: Open-source, platform-independent, community-supported software for describing and comparing microbial communities. Appl Environ Microbiol, 2009. 75(23):7537-41.

Distributed under the GNU General Public License

Type 'help()' for information on the commands that are available

For questions and analysis support, please visit our forum at https://forum.mothur.org

Type 'quit()' to exit program

[NOTE]: Setting random seed to 19760620.

Batch Mode



mothur > dist.seqs(fasta = RTLC.final.fasta, output = lt)

Using 128 processors.

Sequence	Time	Num_Dists_Below_Cutoff
0	1	0
100	3	5050
200	11	20100
300	25	45150
400	44	80200
500	69	125250
600	99	180300
700	135	245350
800	176	320400
900	222	405450
104100	232	416394
1000	275	500500
1100	334	605550
136300	380	681490
1200	398	720600
1300	468	845650
427400	477	854799
78700	485	865645
1400	543	980700
130500	587	1043972
1500	624	1125750
389500	655	1168497
208200	699	1249185
1600	712	1280800
432800	733	1298397
443400	754	1330197
1700	805	1445850
188700	848	1509572
307300	858	1536490
1800	903	1620900
111300	1004	1780680
1900	1006	1805950
2000	1114	2001000
88000	1137	2023747
2100	1230	2206050
39400	1241	2204860
2200	1350	2421100
272600	1378	2453364
312300	1405	2498372
96400	1408	2506075
291800	1476	2626164
2300	1477	2646150
152400	1542	2743047
2400	1609	2881200
2500	1746	3126250
157400	1767	3147810
55700	1851	3284589
2600	1897	3381300
439900	1993	3519172
68200	2047	3613222
2700	2055	3646350
261000	2066	3653909
369100	2094	3690955
420100	2157	3780864
255000	2169	3824895
2800	2218	3921400
416400	2376	4163955
2900	2384	4206450
383500	2407	4218445
211900	2529	4449690
407000	2550	4476945
3000	2552	4501500
347500	2574	4517422
367000	2710	4770922
3100	2724	4806550
329200	2811	4937895
3200	2902	5121600
408900	3032	5315622
356300	3038	5344395
3300	3084	5446650
281000	3183	5619810
141900	3210	5675220
377400	3212	5660895
3400	3272	5781700
3500	3464	6126750
39500	3484	6149910
3600	3666	6481800
3700	3871	6846850
222600	3903	6900135
405100	3911	6886564
371200	3998	7052629
